0.000	4.000	C:maj7
4.000	6.000	B:min7
6.000	8.000	E:7
8.000	12.000	F:maj7
12.000	16.000	Bb:7(#11)
16.000	20.000	A:min7
20.000	24.000	D:7
24.000	26.000	D:min7
26.000	28.000	G:7
28.000	30.000	E:min7
30.000	31.000	D:min7
31.000	32.000	G:7
32.000	36.000	C:maj7
36.000	38.000	B:min7
38.000	40.000	E:7
40.000	44.000	F:maj7
44.000	48.000	Bb:7(#11)
48.000	52.000	A:min7
52.000	56.000	D:7
56.000	58.000	D:min7
58.000	60.000	G:7
60.000	64.000	C:maj7
64.000	68.000	G:min7
68.000	72.000	C:7
72.000	80.000	F:maj7
80.000	84.000	A:min7
84.000	88.000	D:7
88.000	92.000	G:7
92.000	94.000	D:min7
94.000	96.000	G:7
96.000	100.000	C:maj7
100.000	102.000	B:min7
102.000	104.000	E:7
104.000	108.000	F:maj7
108.000	112.000	Bb:7(#11)
112.000	116.000	A:min7
116.000	120.000	D:7
120.000	122.000	D:min7
122.000	124.000	G:7
124.000	128.000	C:maj7